,102,104,206,208,310,212,314,216,218,320,222,324,226,228,330,232,134,236,138,142,146,150,152,254,156,258,360,262,264,366,268,370,272,274,376,278,380,282,284,386,288,190,192,194,196,198
Belmont,05:35:00,06:07:00,,06:58:00,,,,,07:58:00,,,,,08:58:00,,,09:43:00,10:17:00,10:43:00,11:43:00,24:43:00,13:43:00,14:43:00,15:17:00,15:46:00,16:10:00,,,17:19:00,,,,,18:19:00,,,,,19:19:00,,,20:15:00,21:15:00,22:15:00,23:15:00,12:51:00
San Carlos,05:38:00,06:10:00,06:39:00,07:02:00,,07:18:00,,07:40:00,08:02:00,,08:18:00,,08:40:00,09:02:00,,09:18:00,09:46:00,10:20:00,10:46:00,11:46:00,24:46:00,13:46:00,14:46:00,15:20:00,15:49:00,16:13:00,,16:58:00,17:22:00,,,,17:58:00,18:22:00,,,,18:58:00,19:22:00,,,20:18:00,21:18:00,22:18:00,23:18:00,12:54:00
Redwood City,05:41:00,06:15:00,06:44:00,07:06:00,07:11:00,07:23:00,07:31:00,,08:06:00,08:11:00,08:23:00,08:31:00,,09:06:00,09:11:00,09:23:00,09:51:00,10:25:00,10:51:00,11:51:00,24:51:00,13:51:00,14:51:00,15:25:00,15:54:00,16:18:00,,,17:28:00,17:10:00,17:35:00,,,18:28:00,18:10:00,18:35:00,,,19:28:00,19:10:00,19:35:00,20:23:00,21:23:00,22:23:00,23:23:00,12:59:00
Menlo Park,05:47:00,06:20:00,06:50:00,,07:17:00,07:29:00,,07:48:00,,08:17:00,08:29:00,,08:48:00,,09:17:00,09:29:00,09:56:00,10:30:00,10:56:00,11:56:00,24:56:00,13:56:00,14:56:00,15:30:00,15:59:00,16:24:00,,,17:34:00,,17:41:00,,,18:34:00,,18:41:00,,,19:34:00,,19:41:00,20:28:00,21:28:00,22:28:00,23:28:00,01:04:00
Palo Alto,05:51:00,06:24:00,06:54:00,07:14:00,07:21:00,07:33:00,07:37:00,07:52:00,08:14:00,08:21:00,08:33:00,08:37:00,08:52:00,09:14:00,09:21:00,09:33:00,10:00:00,10:34:00,11:00:00,24:00:00,13:00:00,14:00:00,15:00:00,15:34:00,16:04:00,16:28:00,16:47:00,17:06:00,,17:17:00,17:45:00,17:56:00,18:06:00,,18:17:00,18:45:00,18:56:00,19:06:00,,19:17:00,19:45:00,20:32:00,21:32:00,22:32:00,23:32:00,01:08:00
California Ave,05:55:00,06:28:00,06:57:00,,,07:37:00,,,,,08:37:00,,,,,09:37:00,10:04:00,10:37:00,11:04:00,24:04:00,13:04:00,14:04:00,15:04:00,15:38:00,16:08:00,16:31:00,,17:10:00,,17:20:00,17:48:00,,18:10:00,,18:20:00,18:48:00,,19:10:00,,19:20:00,19:48:00,20:35:00,21:35:00,22:35:00,23:35:00,01:11:00
San Antonio,05:59:00,06:32:00,,,,07:41:00,,,,,08:41:00,,,,,09:41:00,10:08:00,10:42:00,11:08:00,24:08:00,13:08:00,14:08:00,15:08:00,15:42:00,16:12:00,16:36:00,,,,,17:52:00,,,,,18:52:00,,,,,19:52:00,20:39:00,21:39:00,22:39:00,23:39:00,01:15:00
Mountain View,06:04:00,06:37:00,07:04:00,,07:28:00,07:46:00,07:50:00,07:59:00,,08:28:00,08:46:00,08:50:00,08:59:00,,09:28:00,09:46:00,10:13:00,10:46:00,11:13:00,24:13:00,13:13:00,14:13:00,15:13:00,15:47:00,16:17:00,16:40:00,16:56:00,17:17:00,17:42:00,,17:57:00,18:03:00,18:17:00,18:42:00,,18:57:00,19:03:00,19:17:00,19:43:00,,19:57:00,20:44:00,21:44:00,22:44:00,23:44:00,01:20:00
Sunnyvale,06:10:00,06:42:00,,,,07:51:00,,,,,08:51:00,,,,,09:51:00,10:18:00,10:51:00,11:18:00,24:18:00,13:18:00,14:18:00,15:18:00,15:52:00,16:22:00,16:46:00,,17:22:00,17:47:00,17:31:00,18:02:00,,18:22:00,18:47:00,18:31:00,19:02:00,,19:22:00,19:48:00,19:31:00,20:03:00,20:49:00,21:49:00,22:49:00,23:49:00,01:25:00
Lawrence,06:15:00,06:46:00,07:09:00,,,07:56:00,,08:07:00,,,08:56:00,,09:07:00,,,09:56:00,10:22:00,10:55:00,11:22:00,24:22:00,13:22:00,14:22:00,15:22:00,15:56:00,16:27:00,16:50:00,,,,,18:08:00,,,18:51:00,,19:07:00,,,,,20:08:00,20:53:00,21:53:00,22:53:00,23:53:00,01:29:00
Santa Clara,06:22:00,06:51:00,,07:27:00,,08:03:00,,,08:27:00,,09:03:00,,,09:27:00,,10:03:00,10:27:00,11:01:00,11:28:00,24:28:00,13:28:00,14:28:00,15:28:00,16:01:00,16:32:00,16:55:00,,17:29:00,17:54:00,,18:15:00,,18:29:00,18:57:00,,19:14:00,,,19:55:00,,20:13:00,20:58:00,21:58:00,22:58:00,23:58:00,01:34:00
College Park,,,,,,08:06:00,,,,,,,,,,,,,,,,,,,16:35:00,,,,,,,,,,,,,,,,,,,,,
San Jose Diridon,06:31:00,07:05:00,07:21:00,07:36:00,07:43:00,08:12:00,08:05:00,08:20:00,08:36:00,08:43:00,09:12:00,09:05:00,09:20:00,09:36:00,09:43:00,10:11:00,10:35:00,11:11:00,11:35:00,24:35:00,13:35:00,14:35:00,15:35:00,16:10:00,16:44:00,17:05:00,17:12:00,17:37:00,18:02:00,17:46:00,18:26:00,18:18:00,18:37:00,19:06:00,18:46:00,19:26:00,19:19:00,19:35:00,20:04:00,19:46:00,20:24:00,21:06:00,22:06:00,23:06:00,12:06:00,01:42:00
Tamien,,07:10:00,,,07:48:00,,,,,08:48:00,,,,,09:48:00,,,11:17:00,,,,,,16:15:00,16:50:00,17:10:00,,,,17:51:00,18:31:00,,,19:11:00,18:51:00,19:31:00,,,,19:51:00,20:29:00,,22:11:00,23:11:00,,
Capitol,,,,,,,,,,,,,,,,,,,,,,,,,16:57:00,,,,,,18:38:00,,,19:18:00,,,,,,,,,,,,
Blossom Hill,,,,,,,,,,,,,,,,,,,,,,,,,17:03:00,,,,,,18:44:00,,,19:24:00,,,,,,,,,,,,
Morgan Hill,,,,,,,,,,,,,,,,,,,,,,,,,17:16:00,,,,,,18:57:00,,,19:37:00,,,,,,,,,,,,
San Martin,,,,,,,,,,,,,,,,,,,,,,,,,17:22:00,,,,,,19:03:00,,,19:43:00,,,,,,,,,,,,
Gilroy,,,,,,,,,,,,,,,,,,,,,,,,,17:37:00,,,,,,19:18:00,,,19:58:00,,,,,,,,,,,,
